_CA,Southern California Medical Group,http://s3-media1.ak.yelpcdn.com/bphoto/SdUWxREuWuPvvot6faxfXg/ms.jpg,3.5,-118.274281,34.01971,3320 S Hill StSouth East LALos Angeles CA 90007
__PHRVOgyR-WgkKPHwnvoA,Nierman Preschool,http://s3-media1.ak.yelpcdn.com/assets/2/www/img/924a6444ca6c/gfx/blank_biz_medium.gif,4,-117.217668,32.875199,4126 Executive DrLa Jolla CA 92037
9j6aqUdpPojPFkb265ep3w,Pasadena Towers Parking,http://s3-media1.ak.yelpcdn.com/bphoto/lZNZskNgHf-_sxM86UfefQ/ms.jpg,5,-118.132939,34.14502,800 E. Colorado BlvdPasadenaPasadena CA 91101
zRvrZaXYgZtFaA-ZR93pfA,Sunset North Car Wash,http://s3-media1.ak.yelpcdn.com/bphoto/5M7OmiLFz4yMUAYznNzAgA/ms.jpg,2.5,-120.659474,35.280606,1023 Marsh StSan Luis Obispo CA 93401
QYOtmUPz0eTkV2sLuRHPvg,Escape Salon,http://s3-media4.ak.yelpcdn.com/bphoto/39BFI7zc2QzbhMwa-zW7Bw/ms.jpg,4,-117.7179955,34.0943947,250 W First StSte 146Claremont CA 91711
UR9H6ZcjMjGhJmmITypI2A,Grappolo,http://s3-media1.ak.yelpcdn.com/assets/2/www/img/924a6444ca6c/gfx/blank_biz_medium.gif,3.5,-120.664846,35.2792631,1040 Broad StreetSan Luis Obispo CA 93401
CyUfjTpoIgNghGlqfz9aEw,El Gallo Giro,http://s3-media1.ak.yelpcdn.com/bphoto/1uNp7G6zNhjdjJ1R_9XCmg/ms.jpg,4,-118.26453,34.015521,701 E Jefferson BlvdSouth East LALos Angeles CA 90011
jztBVgN-TAXhUKczMdB9zA,TJ Maxx,http://s3-media4.ak.yelpcdn.com/bphoto/FbRx7SxuaOBwpqKXKw5_tw/ms.jpg,4.5,-118.1324463,34.13802338,455 S Lake AvePasadenaPasadena CA 91101
X9Hna0jBuwkFi-PoTl1w6A,Palm Theatre,http://s3-media1.ak.yelpcdn.com/bphoto/S8UDtAlhMYKo07W2r7_g7Q/ms.jpg,4.5,-120.6638967,35.2815383,817 Palm StSan Luis Obispo CA 93401
8Q5YPzkOmfVIvZeldC9o4Q,Enterprise Rent-A-Car,http://s3-media1.ak.yelpcdn.com/assets/2/www/img/924a6444ca6c/gfx/blank_biz_medium.gif,1,-117.68282,34.105888,1690 W Foothill BlvdUpland CA 91786
QbmyoM98Wfl015RQ8JK1qA,Campus Cruiser at USC,http://s3-media1.ak.yelpcdn.com/assets/2/www/img/924a6444ca6c/gfx/blank_biz_medium.gif,4,-118.2884738,34.0202738,University Park CampusSouth Los AngelesLos Angeles CA 90089
iD6RCiqdOsjGGaQKG356zA,LA Bicycles,http://s3-media2.ak.yelpcdn.com/bphoto/7xge88lHvix8LwGTShTzEg/ms.jpg,3,-118.2839517,34.0256925,3219 Hoover StSouth Los AngelesLos Angeles CA 90007
cgoq8ACyJrSG1OBWcsKEUA,Srida Thai Cuisine,http://s3-media1.ak.yelpcdn.com/bphoto/jfpHkMO074luhL8S50jz4Q/ms.jpg,4,-117.6896847,34.1054373,922 N Central AveUpland CA 91786
ui-X3rHtu8t6eVTEXx4bfg,Daryl Hoffman,http://s3-media1.ak.yelpcdn.com/bphoto/eRA_6UCKZTalG_fL2dlbjg/ms.jpg,4,-122.1617321,37.4390853,805 El Camino RealSte APalo Alto CA 94301
qTC7mSF4mdzUYRR9mdKTeQ,LensCrafters,http://s3-media4.ak.yelpcdn.com/bphoto/wVokQtwjsNtRAvw8CVqd6Q/ms.jpg,3.5,-117.6963732,34.088005,2148 Montclair Plaza LaneMontclair CA 91763
PBqjmOB7Yjti3cFqy8-Ctw,Cubberley Cafe,http://s3-media3.ak.yelpcdn.com/bphoto/cymSVOW-Mn4c4j9wSJ-V4A/ms.jpg,3.5,-122.16836,37.426398,Cubberley Education Building485 Lasuen MallStanford CA 94305
81IjU5L-t-QQwsE38C63hQ,The Back Abbey,http://s3-media4.ak.yelpcdn.com/bphoto/19sYSVQKzDIHEJDOJlgMPA/ms.jpg,4,-117.7206854,34.0948841,128 N Oberlin AveClaremont CA 91711
o2nvKsqafexXX2OHG6hKXg,UCLA Ackerman Grand Ballroom,http://s3-media1.ak.yelpcdn.com/assets/2/www/img/924a6444ca6c/gfx/blank_biz_medium.gif,5,-118.4440595,34.07047129,308 Westwood PlzWestwoodLos Angeles CA 90095
gclB3ED6uk6viWlolSb_uA,Cafe 3,http://s3-media1.ak.yelpcdn.com/bphoto/AaHq1UzXiT6zDBUYrJ2NKA/ms.jpg,2,-122.260408,37.867417,2400 Durant AveTelegraph AveBerkeley CA 94701
